1599989374844|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT id,teacher_id,subject_id,subject_parent_id,title,price,lesson_num,cover,buy_count,view_count,version,status,is_deleted,gmt_create,gmt_modified FROM edu_course WHERE id=?  AND is_deleted=0|SELECT id,teacher_id,subject_id,subject_parent_id,title,price,lesson_num,cover,buy_count,view_count,version,status,is_deleted,gmt_create,gmt_modified FROM edu_course WHERE id='1305075903923040257'  AND is_deleted=0
1599989374862|13|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id=? |SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id='1305075903923040257' 
1599989374914|13|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = '0')
1599989374930|12|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> '0')
1599989374985|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,name,intro,career,level,avatar,sort,is_deleted,gmt_create,gmt_modified  FROM edu_teacher   WHERE is_deleted=0|SELECT  id,name,intro,career,level,avatar,sort,is_deleted,gmt_create,gmt_modified  FROM edu_teacher   WHERE is_deleted=0
1599989445449|22|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|UPDATE edu_course  SET teacher_id=?, subject_id=?, subject_parent_id=?, title=?, price=?, lesson_num=?, cover=?, gmt_modified=?  WHERE id=?  AND is_deleted=0|UPDATE edu_course  SET teacher_id='1189426464967995393', subject_id='1304721743922937857', subject_parent_id='1304721743742582786', title='test', price=110, lesson_num=10, cover='https://dss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=1697850329,1416483110&fm=26&gp=0.jpg', gmt_modified='2020-09-13T17:30:45.425+0800'  WHERE id='1305075903923040257'  AND is_deleted=0
1599989445465|14|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id=? |SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id='1305075903923040257' 
1599989445489|20|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|UPDATE edu_course_description  SET description=?, gmt_create=?, gmt_modified=?  WHERE id=?|UPDATE edu_course_description  SET description='<p>11</p>', gmt_create='2020-09-13T17:28:37.000+0800', gmt_modified='2020-09-13T17:30:45.467+0800'  WHERE id='1305075903923040257'
1599989445501|12|commit|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8||
1599989446477|10|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305075903923040257')
